Diana Yuan,2.4.3,What is a parameter of the BPE algorithm?,k
Diana Yuan,2.4.3,The BPE token parser evaluates the test sentence using what?,the given vocabulary
Diana Yuan,2.4.3,"In real BPE algorithms, only what words will be represented by their parts?",very rare
Diana Yuan,2.4.4,What is the task of putting words and tokens in a standard format?,Word normalization
Diana Yuan,2.4.4,What is case folding not used for?,"sentiment analysis, information extraction, and machine translation"
Diana Yuan,2.4.4,What is the task of determining that two words have the same root?,Lemmatization
Diana Yuan,2.4.4,What can all morphemes be grouped into?,stems
Diana Yuan,2.4.5,What are the most useful cues for sentence segmentation?,punctuations
Diana Yuan,2.4.5,What determines the purpose of a punctuation?,the sentence tokenization
Diana Yuan,2.5.0,What is the task of deciding whether two strings refer to the same entity?,Coreference
Diana Yuan,2.5.0,What quantifies string similarity?,Edit distance
Diana Yuan,2.5.0,What is a correspondence between substrings of the two sequences?,An alignment
Diana Yuan,2.5.0,"The operation list contains symbols expressing the editing operations needed, following what?","d for deletion, s for substitution, and i for insertion"
Diana Yuan,2.5.0,What is the weighting factor in which each of the three editing operations has a cost of 1?,The Levenshtein distance between two sequences
Diana Yuan,2.5.1,What is a class of algorithms that solve problems by combining solutions to sub-problems?,Dynamic programming
Diana Yuan,2.5.1,What are two examples of algorithms that use dynamic programming?,Viterbi algorithm and the CKY algorithm
Diana Yuan,2.5.1,Who named the minimum edit distance algorithm?,Wagner and Fischer
Diana Yuan,2.5.1,What step of the minimum edit distance algorithm calculates the distance for the zeroth row and column?,The initialization step
Diana Yuan,2.5.1,What step takes the minimum of three possible paths to determine the minimum edit distance for the rest of the matrix?,The recurrence relation
Diana Yuan,2.5.1,What is one way to visualize the minimum edit distance algorithm?,boldfaced cells
Diana Yuan,2.5.1,What does each boldfaced cell represent?,an alignment of a pair of letters in the two strings
Diana Yuan,2.5.1,What do two boldfaced cells present in the same row?,insertion
Diana Yuan,2.5.1,What is a procedure in which we follow the pointers from the last cell?,The backtrace
Diana Yuan,3.0,"What is used in speech recognition, spelling correction, and machine translation?",Probability
Diana Yuan,3.0,Probability is important for what type of devices for the disabled?,AAC devices
Diana Yuan,3.0,What are models that assign probability to sequences of a word called?,language models
Diana Yuan,3.0,What is the simplest example of LMs?,n-gram
Diana Yuan,3.1,What doesn't give good estimates when new sentences are created?,Estimating probabilities directly from counts
Diana Yuan,3.1,What computes probability of a word given previous words?,chain rule of probability
Diana Yuan,3.1,What model approximates the history by just the last few words?,The n-gram model
Diana Yuan,3.1,What does the bigram model predict given the first word?,the conditional probability of the last word
Diana Yuan,3.1,What assumption states that the probability of a word depends only on the previous word?,Markov
Diana Yuan,3.1,What gives the parameters of an n-gram model by normalizing the counts from a corpus so that they lie between 0 and 1?,MLE
Diana Yuan,3.1,What is given by the bigram of xy over the unigram count for x?,x
Diana Yuan,3.1,What is the ratio between the observed frequency of a particular sequence and the observed frequency of a prefix?,relative frequency
Diana Yuan,3.1,How are bigram probabilities normalized?,by dividing each cell by the set of unigram probabilities
Diana Yuan,3.1,What model is used when there is sufficient training data?,trigram models
Diana Yuan,3.1,"To avoid numerical underflow, language model probabilities are always represented and computed as what?",log probabilities
Diana Yuan,3.2.0,How does an extrinsic evaluation determine the performance of a language model?,by embedding it in an application
Diana Yuan,3.2.0,What measures the quality of a model independent of any application?,intrinsic evaluation metric
Diana Yuan,3.2.0,What is the quality of an n-gram model from its training set measured by?,performance on a test set in the held out corpora
Diana Yuan,3.2.0,Which n-gram model assigns a higher probability to the test set?,the one that better fits the test set
Diana Yuan,3.2.0,What is the initial test set that has never been used before?,The development test
Diana Yuan,3.2.0,Training on the same test set introduces a bias that gives disproportionally high probabilities and causes what?,huge inaccuracies in perplexity
Diana Yuan,3.2.1,What is the perplexity of a language model on a test set?,the inverse probability of the test set
Diana Yuan,3.2.1,What is the greater the language model's test set probability?,The smaller the perplexity
Diana Yuan,3.2.1,What is another definition of perplexity?,the weighted average branching factor of a language
Diana Yuan,3.2.1,How must the n-gram model P be constructed?,without any knowledge of the test set or its vocabulary
Diana Yuan,3.2.1,What does not guarantee an extrinsic improvement in the performance of a specific language processing task?,an intrinsic improvement in perplexity
Diana Yuan,3.3.0,The n-gram model is dependent on what?,training corpus
Diana Yuan,3.3.0,What increases in the n-gram model?,the word tokens N
Diana Yuan,3.3.0,What is important to get training data in?,dialect or variety
Diana Yuan,3.3.0,What are phrases that don't occur in the training set but do occur in the test set?,Zeros
Diana Yuan,3.3.0,Zeros cause the underestimation of all other phrases and give what probability of the entire test set?,false negative probability
Diana Yuan,3.3.1,What is a closed vocabulary system?,the test set doesn't contain any words outside of the given lexicon
Diana Yuan,3.3.1,The closed vocabulary system is often used in speech recognition or what?,machine translation
Diana Yuan,3.3.1,Unknown words are also called what?,out of vocabulary
Diana Yuan,3.3.1,What is the percentage of OOV words that appear in the test set?,OOV
Diana Yuan,3.3.1,What is a pseudo-word called in an open vocabulary system?,UNK
Diana Yuan,3.3.1,How can we train the probabilities of unknown words in an open vocabulary system?,convert any unknown words to the word token
Diana Yuan,3.3.1,What can a language model achieve by choosing a small vocabulary and assigning the unknown word a high probability?,low perplexity
Diana Yuan,3.4.0,What is the procedure of transferring the probability mass of frequent events to other words that appear in the test set in an unseen context?,Smoothing or discounting
Diana Yuan,3.4.1,How many bigram counts does the Laplace smoothing algorithm add?,one
Diana Yuan,3.4.1,What is the Laplace smoothing algorithm used for?,text classification
Diana Yuan,3.4.1,What does the Laplace smoothing algorithm define instead of adding one to both the numerator and denominator of the probability?,an adjusted count
Diana Yuan,3.4.1,What is the normalization factor N over N plus V?,the total number of word tokens
Diana Yuan,3.4.1,What can the smoothing algorithm be viewed as?,discounting non-zero counts and reassigning probability mass to zero counts
Diana Yuan,3.4.1,The smoothing algorithm can be described in terms of what?,relative discount d
Diana Yuan,3.4.1,What shows both the discounted previously-nonzero counts and increased previously-zero counts?,The reconstructed count matrix
Diana Yuan,3.4.2,What is the algorithm that adds a fractional count k to each count called?,add-k smoothing
Diana Yuan,3.4.2,How can the fractional count k be chosen?,by optimizing on a devset
Diana Yuan,3.4.3,What helps to generalize more for unlearned contexts?,bigram
Diana Yuan,3.4.3,When do we move along the n-gram hierarchy?,until there is sufficient evidence
Diana Yuan,3.4.3,In what method do we mix the probability estimates from all n-gram estimators?,interpolation
Diana Yuan,3.4.3,The different order n-grams are each weighted by what?,lambda value
Diana Yuan,3.4.3,Where are lambda values or coefficients learned from?,held-out corpus
Diana Yuan,3.4.3,What is an iterative learning algorithm that converges on locally optimal lambdas?,EM algorithm
Diana Yuan,3.4.3,What are the higher-order n-grams discounted by a function alpha to save some probability mass for?,lower-order n-grams
Diana Yuan,3.4.3,What is the backoff n-gram model with discounting called?,Katz backoff
Diana Yuan,3.5,What is the most commonly used and best performing n-gram smoothing method?,interpolated Knerser-Ney algorithm
Diana Yuan,3.5,What did the interpolated Knerser-Ney algorithm originate from?,absolute discounting
Diana Yuan,3.5,What is the unigram model created by the Knerser-Ney algorithm called?,PContunuation
Diana Yuan,3.5,What is the best performing version of Knerser-Ney smoothing called?,modified Knerser-Ney smoothing
Diana Yuan,3.6,By using text from web or other what is it possible to build extremely large language models?,enormous collections
Diana Yuan,3.6,What is the COCA?,Corpus of Contemporary American English
Diana Yuan,3.6,How many bit hash numbers do large sets of n grams usually store each word as?,sixtyfour
Diana Yuan,3.6,How can n grams be shrunk?,pruning
Diana Yuan,3.6,What is used to build appropriate language models?,Bloom filters
Diana Yuan,3.6,What do efficient language model toolkits use?,sorted arrays
Diana Yuan,3.6,What is used when the full Knerser-ney smoothing is unnecessary?,The stupid backoff algorithm
Diana Yuan,3.7,What is the measure of information?,Entropy
Diana Yuan,3.7,What is the resulting entropy measured as?,lower bound on the number of bits it would take to encode a certain piece of information in the optimal coding scheme
Diana Yuan,3.7,What is the entropy of a sequence divided by the number of words?,The entropy rate or per-word entropy
Diana Yuan,3.7,"What theorem states that if the language is regular, the entropy of the given language would be the entropy of",Shannon-McMillan-Breiman theorem
Diana Yuan,3.7,What is stationary if the probabilities it assigns to a sequence are independent of the shifts in the time index?,The stochastic process
Diana Yuan,3.7,"What are stationary, but natural language is not stationary?",Markov models and n-grams
Diana Yuan,3.7,How can we compute the entropy of natural language?,taking a sufficiently long sample of the output to determine its average log probability
Diana Yuan,3.7,When is cross-entropy useful?,when the actual probability distribution p used to generate some data is unknown
Diana Yuan,3.7,What model of the probability distribution p is used to calculate the cross-entropy of m on p?,m
Diana Yuan,3.7,What would give a lower cross-entropy?,The more accurate model
Diana Yuan,3.7,The perplexity of a model P on a sequence of words W can be formally defined as what?,some exponential of the cross-entropy
Diana Yuan,4.0,What is the task of assigning a label or category to an entire text or document?,Text categorization
Diana Yuan,4.0,"What is the extraction of sentiment, the positive or negative orientation that a writer expresses towards some object?",Sentiment analysis
Diana Yuan,4.0,What is the binary classification task of assigning an email to either spam or not-spam?,Spam detection
Diana Yuan,4.0,What is the task of determining the language of a text?,Language id
Diana Yuan,4.0,"Related text classification tasks like what are relevant to digital humanities, social sciences, and forensic linguistics?",authorship attribution
Diana Yuan,4.0,What is the goal of classification?,"to take a single observation, extract some useful features, and classify the given observation into one of a set of discrete classes"
Diana Yuan,4.0,Who determines the rules of classification?,humans
Diana Yuan,4.0,Most classifications in language processing are done through what?,supervised machine learning
Diana Yuan,4.0,What is the goal of supervised machine learning?,learn a classifier that is capable of mapping from a new document to its correct class
Diana Yuan,4.0,What does a probabilistic classifier give?,probability of the observation being in the class
Diana Yuan,4.0,What type of classifiers return the class most likely to have generated some given observation?,Generative classifiers
Diana Yuan,4.0,Discriminative classifiers like what learn about the features of the input to discriminate between the different possible classes?,logistic regression
Diana Yuan,4.1,What is the simplifying assumption made by the multinomial naive Bayes classifier?,bag-of-words
Diana Yuan,4.1,What is a probabilistic classifier?,Naive Bayes
Diana Yuan,4.1,Who first applied the Bayesian inference to text classification?,Mosteller and Wallace
Diana Yuan,4.1,Naive Bayes generates words by sampling from what?,conditional probability
Diana Yuan,4.1,The class that has the greatest product of the prior probability and the likelihood is considered what?,the most probable class
Diana Yuan,4.1,What is the conditional independence assumption?,the probabilities of features given a class are independent and can be multiplied directly
Diana Yuan,4.1,Why are Naive Bayes calculations done in log space?,increase speed
Diana Yuan,4.1,Naive Bayes and linear regression belong to the class of linear classifiers that use what to make a classification decision?,lienar combination of inputs
Diana Yuan,4.2,What is calculated as the fraction of times a word appears among all words in all documents of a class?,The maximum likelihood estimate of the conditional probability
Diana Yuan,4.2,What would happen if a word gave a zero probability with maximum likelihood training?,probability of the entire class would evaluate to zero
Diana Yuan,4.2,What is the simplest solution to avoid a zero overall probability?,add-one (Laplace) smoothing
Diana Yuan,4.2,What do not occur in any training document in any class?,Unknown words
Diana Yuan,4.2,What are frequent words like the and a?,Stop words
Diana Yuan,4.2,How do some systems ignore stop words?,by sorting the vocabulary
Diana Yuan,4.4,What is another name for binary multinomial naive Bayes?,binary NB
Diana Yuan,4.4,When is binary NB more efficient?,when the existence of a word matters more than its frequency
Diana Yuan,4.4,How is negation dealt with in sentiment analysis?,prepending the prefix
Diana Yuan,4.4,"When there's insufficient labeled training data to train accurate naive Bayes classifiers, positive and negative word features can",sentiment lexicons
Diana Yuan,4.5,Features in naive Bayes may express what?,any property of the input text
Diana Yuan,4.5,What are features in naive Bayes for spam detection?,a set of likely words or phrases
Diana Yuan,4.5,What determines what language a given piece of information is written in?,Language ID
Diana Yuan,4.5,What are the most effective naive Bayes features for Language ID?,character n-grams or byte n-grams
Diana Yuan,4.5,What naive Bayes system uses feature selection to determine the most informative final features?,langid.py
Diana Yuan,4.5,What type of texts are Language ID systems trained on?,multilingual
Diana Yuan,4.5,What does the naive Bayes system add to Wikipedia?,slang websites
Diana Yuan,4.6,What are similar to language modeling in that they can be viewed as a set of class-specific unigram language models?,Naive Bayes models
Diana Yuan,4.6,What is the probability of a sentence being positive?,the total product of the individual probabilities that each word in the sentence is positive
Diana Yuan,4.7.0,What do gold labels do?,verify system outputs
Diana Yuan,4.7.0,What is a table for visualizing how an algorithm performs with respect to the human gold labels?,confusion matrix
Diana Yuan,4.7.0,What is calculated as the percentage of correct system output?,Accuracy
Diana Yuan,4.7.0,What measures the percentage of true gold-labeled positives out of all system-labeled positives?,Precision
Diana Yuan,4.7.0,What measures the percentage of true gold-labeled positives out of true positives and true negatives?,Recall
Diana Yuan,4.7.0,What is the F-measure expressed as?,Harmonic mean
Diana Yuan,4.7.1,What is a multi-class classification algorithm that can perform sentiment analysis beyond the positive and negative class?,The Naive Bayes algorithm
Diana Yuan,4.7.1,What can the Naive Bayes algorithm perform beyond the positive and negative classes?,sentiment analysis
Diana Yuan,4.7.1,What averages over the performance for each class?,Macroaveraging
Diana Yuan,4.8,What allows all data to be used for both training and testing?,Cross-validation
Diana Yuan,4.8,What does 10-fold cross-validation involve?,training the classifier on a set of randomly selected data
Diana Yuan,4.8,What does 10-fold cross-validation involve?,computing the error rate on the test set
Diana Yuan,4.8,What does cross-validation prohibit?,previewing the data
Diana Yuan,4.9.0,What compares the performance of multiple systems?,Statistical significance testing
Diana Yuan,4.9.0,What presents the degree to which system A is better than system B?,The effect size
Diana Yuan,4.9.0,The null hypothesis assumes that the effective size is what?,negative or zero
Diana Yuan,4.9.0,What attempts to rule out the null hypothesis?,statistical significance testing
Diana Yuan,4.9.0,What is the probability that the actual effect size is higher than it was in the hypothesis?,The p-value
Diana Yuan,4.9.0,A p-value below what threshold indicates that the result is statistically significant and the null hypothesis can be rejected?,0.05 or 0.1
Diana Yuan,4.9.0,NLP research usually use non-parametric tests based on what?,sampling
Diana Yuan,4.9.0,What are the two most common non-parametric tests in NLP?,approximate randomization and the bootstrap test
Diana Yuan,4.9.0,What compares two sets of observations that are aligned?,The paired version of the bootstrap test
Diana Yuan,4.9.1,What refers to drawing large numbers of smaller samples with replacement from an original large sample?,bootstrap test
Diana Yuan,4.10,What is crucial to avoid that exist both for naive Bayes classifiers and other classification algorithms?,harms
Diana Yuan,4.10,What type of harms are caused by a system that demeans a social group?,Representational
Diana Yuan,4.10,What is another class of harms that may exist in toxicity detection?,Censorship
Diana Yuan,4.10,Non-toxic sentences that simply mention what identifies can lead to the censoring discourses by or about minority groups.,minority
Diana Yuan,4.10,What could have replicated and amplified biases in their training data?,Machine learning systems
Diana Yuan,4.10,What is released with each version of a model and clarifies any flaws that the model might have?,A model card
Author,Section,Question,Answer
Hannah Gonzalez,2.0,What is an example of an early NLP processing system that recognizes patterns and matches them with appropriate responses?,ELIZA
Hannah Gonzalez,2.0,What is the essence of ELIZA?,regular expressions
Hannah Gonzalez,2.0,Regular expressions are what?,strings
Hannah Gonzalez,2.0,What is it called when we want to standardize a text?,text normalization
Hannah Gonzalez,2.0,What is another example of text normalization?,splitting sentences
Hannah Gonzalez,2.0,What algorithm determines how similar words are between each other?,edit distance
Hannah Gonzalez,2.1.1,What is a simple type of regular expressions?,a sequence of characters
Hannah Gonzalez,2.1.1,What defines a disjunction of characters when we are matching them to the regular expressions?,Square braces
Hannah Gonzalez,2.1.1,What is used when we know the range of characters to match?,Dash
Hannah Gonzalez,2.1.1,What is used when you don't want to use a certain character?,Caret
Hannah Gonzalez,2.1.1,Where should the symbol go in order to negate the pattern?,the beginning of the square brackets
Hannah Gonzalez,2.1.1,What lets us match the word if it has the character before the question mark?,Question mark
Hannah Gonzalez,2.1.1,What lets us match the word if it has the character before the question mark?,if it has the character before the question mark
Hannah Gonzalez,2.1.1,What lets us match the word if it has the character before the question mark?,if it has the character before the question mark
Hannah Gonzalez,2.1.1,What lets us match the word if it has zero or more occurrences of the character before it or a regular expression before it?,Kleene star
Hannah Gonzalez,2.1.1,What lets us match the character with one or more occurrences of the character or regular expression before the Kleene (+)?,Kleene
Hannah Gonzalez,2.1.1,What is Period (.)?,a wildcard expression
Hannah Gonzalez,2.1.1,What is Period (.)?,a wildcard expression
Hannah Gonzalez,2.1.1,What do anchors do?,hold regular expressions to certain locations of the string
Hannah Gonzalez,2.1.2,"What means ""or""?",Pipe
Hannah Gonzalez,2.1.2,"What does (( )) mean ""and""?",Parentheses
Hannah Gonzalez,2.1.2,What determines which operator has higher precedence than another?,precedence hierarchy
Hannah Gonzalez,2.1.2,What is the order from highest precedence to lowest precedence?,"parenthesis, counters, sequences and anchors, disjunction"
Hannah Gonzalez,2.1.2,"When regular expressions are not matched, we match them with what?",largest string they can
Hannah Gonzalez,2.1.3,How many types of errors are there?,two
Hannah Gonzalez,2.1.3,What are the two types of errors?,false positives
Hannah Gonzalez,2.1.3,What is the other type of error called?,false negatives
Hannah Gonzalez,2.1.3,What is when we incorrectly match strings?,False positive
Hannah Gonzalez,2.1.3,What is when we incorrectly miss strings?,False negative
Hannah Gonzalez,2.1.3,What do less false positives errors mean?,more precision
Hannah Gonzalez,2.1.3,Less false negatives errors mean more what?,recall
Hannah Gonzalez,2.1.4,What can you specify?,the number of an instance in a pattern
Hannah Gonzalez,2.1.4,How many instances of the previous character or expression are there?,four
Hannah Gonzalez,2.1.4,What can you specify in a pattern?,ranges
Hannah Gonzalez,2.1.4,What can you refer to with a backslash?,special characters
Hannah Gonzalez,2.1.4,What are some special characters that you can refer to with a backslash?,"( ), ( )"
Hannah Gonzalez,2.1.6,What means replacing one string characterized with a regular expression with another string?,Substitution
Hannah Gonzalez,2.1.6,Capture group means using what to store a pattern in memory?,parentheses
Hannah Gonzalez,2.1.7,What syntax do Lookahead assertions use?,non-capture groups' syntax
Hannah Gonzalez,2.2,What is a collection of text or speech that a computer can read?,Corpus
Hannah Gonzalez,2.2,"Punctuation, fillers, and disfluencies are treated as what?",words
Hannah Gonzalez,2.2,"What is a set of lexical forms that share the steam, major part-of-speech, and word sense?",A lemma
Hannah Gonzalez,2.3,"What should be tested with many languages, not just one?",NLP algorithms
Hannah Gonzalez,2.3,What is the phenomenon of people using multiple languages in a single communicative act called?,code switching
Hannah Gonzalez,2.3,What is the ideal way of creating a corpus creator?,build a datasheet
Hannah Gonzalez,2.3,What does a datasheet help understand?,context
Hannah Gonzalez,2.3,What are the properties of a datasheet?,"motivation, situation, language variety, speaker demographics, collection process, annotation process, and distribution"
Hannah Gonzalez,2.4.1,What does normalizing a text mean?,tokenizing words
Hannah Gonzalez,2.4.1,How many words is a normalized text divided into?,one word per line
Hannah Gonzalez,2.4.1,What are the most frequent words?,function words
Hannah Gonzalez,2.4.1,What are some examples of function words?,"articles, pronouns, and prepositions"
Hannah Gonzalez,2.4.2,What is the task of segmenting running text into words?,Tokenization
Hannah Gonzalez,2.4.2,What do we keep in our tokenizations?,punctuation and numbers
Hannah Gonzalez,2.4.2,What are clitic contractions marked by?,apostrophes
Hannah Gonzalez,2.4.2,Tokenization is tied to what?,named entity recognition
Hannah Gonzalez,2.4.2,What is a common tokenization standard called?,Penn Treebank tokenization standard
Hannah Gonzalez,2.4.2,What does the Penn Treebank tokenization standard do?,"separates out clitics, keeps hyphenated words and separates punctuation"
Hannah Gonzalez,2.4.2,Tokenization is a task that can differ between what?,languages
Hannah Gonzalez,2.4.2,Tokenization can be segmented into what?,characters or into words
Hannah Gonzalez,2.4.3,What are sets of tokens that include tokens smaller than words called?,Subwords
Hannah Gonzalez,2.4.3,What are the two parts of tokenizations?,token learner and a token segmenter
Hannah Gonzalez,2.4.3,What is BPE?,byte-pair encoding
Hannah Gonzalez,2.4.4,What is standardizing the format of words and tokens?,Word normalization
Hannah Gonzalez,2.4.4,What is another kind of normalization?,Case folding
Hannah Gonzalez,2.4.4,What is an example of case folding?,mapping everything to lowercase
Hannah Gonzalez,2.4.4,What determines if two words share the same root?,Lemmatization
Hannah Gonzalez,2.4.5,What is an important step in text processing?,Sentence segmentation
Hannah Gonzalez,2.4.5,What are some clues in sentence segmentation?,"periods, question marks, and exclamation points"
Hannah Gonzalez,2.4.5,What are some challenges in sentence segmentation?,knowing whether a period is a full-stop or it's the end of an abbreviation
Hannah Gonzalez,2.5.0,What can help to quantify the similarity between strings?,Minimum edit distance
Hannah Gonzalez,2.5.0,What does minimum edit distance return?,the minimum number of editing operations needed to transform one string into another
Hannah Gonzalez,2.5.1,What is a method to solve problems that combines solutions to sub-problems?,Dynamic programming
Hannah Gonzalez,2.5.1,What are two examples of dynamic programming?,Viterbi algorithm and the CKY algorithm
Hannah Gonzalez,2.5.1,What is an application of the minimum edit distance algorithm?,spelling errors
Hannah Gonzalez,2.5.1,What is the name of the imum edit distance algorithm?,n
Hannah Gonzalez,2.5.1,What is the name of the relation where costs of insertion and deletion are calculated?,recurrence relation
Hannah Gonzalez,2.5.1,What is a probabilistic extension of the minimum edit distance algorithm?,Viterbi's algorithm
Hannah Gonzalez,3.0,"What is essential for speech recognition, spelling or grammar correction, machine translation, and augmentative communication technologies?",Predicting upcoming words
Hannah Gonzalez,3.0,What are models that assign probabilities to sequences of words called?,Language models
Hannah Gonzalez,3.1,What is a model that estimates the probability of the last word given the previous words?,N-gram
Hannah Gonzalez,3.1,Why is the N-gram model not as effective?,the constant change in languages
Hannah Gonzalez,3.1,What shows the link between computing the joint probability of a sequence and computing the conditional probability of a word given previous words?,The chain rule of probability
Hannah Gonzalez,3.1,What model approximates this probability by using only the conditional of the previous words?,The bigram model
Hannah Gonzalez,3.1,The n-gram model looks at how many words into the past?,n-1
Hannah Gonzalez,3.1,What is the assumption that the probability of a word depends only on the previous word?,Markov assumption
Hannah Gonzalez,3.1,What is another name for the maximum likelihood estimation?,MLE
Hannah Gonzalez,3.1,What are the normalized counts of a corpus?,between 0 and 1
Hannah Gonzalez,3.1,How do we estimate the n-gram probability?,by dividing the observed frequency of a particular sequence by the observed frequency of a prefix
Hannah Gonzalez,3.1,What is dividing the observed frequency of a particular sequence by the observed frequency of a prefix called?,relative frequency
Hannah Gonzalez,3.1,What do we usually convert the relative frequency of a particular sequence by the observed frequency of a prefix into?,logarithmic space
Hannah Gonzalez,3.2.0,What is used to evaluate the performance of a language model?,extrinsic evaluation
Hannah Gonzalez,3.2.0,What is the downside of extrinsic evaluation?,very expensive
Hannah Gonzalez,3.2.0,What ensures the quality of a model independent of any application?,intrinsic evaluation
Hannah Gonzalez,3.2.0,What are the three types of data that we divide the data in?,"training set, test set, held out set"
Hannah Gonzalez,3.2.0,What is the better model?,Whichever model assigns a higher probability to the test set
Hannah Gonzalez,3.2.0,What is problematic because it introduces a bias in the probabilities and causes inaccuracies in perplexity?,Training on the test set
Hannah Gonzalez,3.2.1,What is the inverse probability of a test set?,Perplexity
Hannah Gonzalez,3.2.1,What is equal to maximizing the test set probability according to the language model?,Minimizing perplexity
Hannah Gonzalez,3.3.0,N-grams are dependent on what?,training corpus
Hannah Gonzalez,3.3.0,To build a better model we need to do what in the training corpus?,match genres and dialects
Hannah Gonzalez,3.3.1,What do we call the words that are not known in our dictionary?,unknown words
Hannah Gonzalez,3.4.0,What is another name for not assigning zero to the probability of an unseen word in a test set?,discounting
Hannah Gonzalez,3.4.0,What is the name of the smoothing method?,Kneser-Ney
Hannah Gonzalez,3.4.1,What algorithm adds one to all the bigram counts before normalizing them into probabilities?,Laplace smoothing
Hannah Gonzalez,3.4.2,What smoothing is to move a bit less of the probability mass from the seen to the unseen events?,Add-k
Hannah Gonzalez,3.4.2,What does add-k smoothing add?,fractional count
Hannah Gonzalez,3.4.3,What does backoff use if the evidence is sufficient?,bigram
Hannah Gonzalez,3.4.3,What does backoff use if the evidence is sufficient?,trigram
Hannah Gonzalez,3.4.3,In what method do we mix the probability estimates from all the n-gram estimators?,interpolation
Hannah Gonzalez,3.5,What company augments absolute discounting with a more sophisticated way to handle the lower-order unigram distribution?,Kneser-Ney
Hannah Gonzalez,3.5,"How many different discounts does Kneser-Ney use for n-grams with counts of 1,2,3 or more?",three
Hannah Gonzalez,3.6,Efficient language model toolkits use what to build probability tables in a minimal number of passes through a large corpus?,merge sorts
Hannah Gonzalez,3.6,What do efficient language model toolkits use to combine probabilities and backoffs in a single value?,sorted arrays
Hannah Gonzalez,3.7,What do we use to measure information?,entropy
Hannah Gonzalez,3.7,What is the entropy of a sequence divided by the number of words?,Entropy rate
Hannah Gonzalez,3.7,What is used when the actual probability distribution that generated some data is unknown?,cross entropy
Hannah Gonzalez,4.0,What is the task of assigning a label to a text?,Text categorization
Hannah Gonzalez,4.0,What is the positive or negative experience that the writer expresses towards an object?,Sentiment analysis
Hannah Gonzalez,4.0,What is another example of Sentiment analysis?,Spam detection
Hannah Gonzalez,4.0,What is the goal of supervised machine learning?,to learn how to mpa
Hannah Gonzalez,4.1,The Bayesian classifier makes a simplifying assumption of what?,how features interact
Hannah Gonzalez,4.1,What does the Bayesian classifier present the text as?,a bag of words
Hannah Gonzalez,4.1,How do we calculate the most probable class given some document?,by choosing the class which has the highest product of the prior probability of the class and the likelihood of the document
Hannah Gonzalez,4.1,What is the naive Bayes assumption?,conditional independence assumption
Hannah Gonzalez,4.1,What are the Bayesian classifiers called?,linear classifiers
Hannah Gonzalez,4.2,What do we use in the data to estimate the maximum likelihood?,frequencies
Hannah Gonzalez,4.2,What is used to avoid zeros?,Laplace smoothing
Hannah Gonzalez,4.2,What is the solution for unknown words?,ignore them and remove them from the document
Hannah Gonzalez,4.2,Some systems decide to ignore a class of what?,very frequent words
Hannah Gonzalez,4.4,What is the variant of binary NB called?,binary multinomial naive Bayes
Hannah Gonzalez,4.4,What can modify a negative word and produce a positive review?,Negation
Hannah Gonzalez,4.4,What is an example of a sentiment lexicon?,MPQA Subjectivity Lexicon
Hannah Gonzalez,4.4,What are lists of words that are pre annotated with a positive or negative sentiment?,sentiment lexicons
Hannah Gonzalez,4.5,What does Bayes not require to use all the words in training data as a feature?,the classifier
Hannah Gonzalez,4.5,Language iD systems are trained on multilingual texts such as what?,Wikipedia
Hannah Gonzalez,4.6,What can be viewed as a set of class-specific unigram language models?,naive Bayes model
Hannah Gonzalez,4.6,A naive Bayes model can be viewed as a set of what?,class-specific unigram language models
Hannah Gonzalez,4.7.0,What does a human define?,Gold labels
Hannah Gonzalez,4.7.0,What helps visualize how an algorithm performs with respect to the human gold labels?,confusion matrix
Hannah Gonzalez,4.7.0,"Instead of measuring accuracy, we measure what?",precision
Hannah Gonzalez,4.7.0,What measures the percentage of items actually present in the input that were correctly identified by the system?,Recall
Hannah Gonzalez,4.7.1,What is a multi-class classification algorithm?,naive Bayes algorithm
Hannah Gonzalez,4.7.1,What method computes the performance of each class and averages over classes?,macroaveraging
Hannah Gonzalez,4.7.1,In what class classification algorithm do we collect the decisions for all classes into a single confusion matrix?,microaveraging
Hannah Gonzalez,4.8,What allows you to randomly select a training set and a test set division of our data?,k fold cross validation
Hannah Gonzalez,4.8,How many times does k fold cross validation repeat?,k times
Hannah Gonzalez,4.9.0,What represents if a model is better than another model?,The effect size
Hannah Gonzalez,4.9.0,What are the two common non-parametric tests used in NLP?,"approximate randomization, and the bootstrap test"
Hannah Gonzalez,4.9.1,What test can be applied to any metric?,bootstrap
Hannah Gonzalez,4.9.1,Bootstrap refers to repeatedly drawing what with replacement?,large numbers of smaller samples
Hannah Gonzalez,4.10,What are representational harms caused by?,systems that demeans a social group
Hannah Gonzalez,4.10,What are some tasks that include toxicity detection?,"hate speech, abuse, harassment, or other kinds of toxic language"
Hannah Gonzalez,5.0,What can help discover the link between features and some outcome?,Logistic regression
Hannah Gonzalez,5.0,What is the algorithm used for classification in nlp?,Logistics regression
Hannah Gonzalez,5.0,How many classes can logistic regression classify?,2
Hannah Gonzalez,5.0,What type of classifier is naive Bayes?,generative
Hannah Gonzalez,5.0,What does a discriminative model try to directly compute?,P(c/d)
Hannah Gonzalez,5.0,How many components does a machine learning system have?,four
Hannah Gonzalez,5.0,What are the two phases of logistic regression?,training and testing
Hannah Gonzalez,5.1,What classifier can help make a binary decision about the class of a new input observation?,sigmoid
